"Numer dokumentu";"Data złożenia";"Data zamknięcia";"Student";"Tryb studiów";"Typ studiów";"Język wykładowy";"Kierunek";"Status";"Rodzaj wniosku";"Osoba przyjmująca";"Osoba przypisana";"Słowo regulamin w uzasadnieniu";"Słowo formaln w uzasadnieniu";"Słowo postęp w uzasadnieniu";"Złożone odwołanie";"Liczba załączników";"Liczba zmian statusu";"Semestr rejestracji";"Semestr aktualny";"Semestr studiow";"Brakujace ECTS";"ECTS uznane w bieżącym semstrze";"Suma zdobytych ECTS";"Niezaliczone z sem 1";"Niezaliczone z sem 2";"Niezaliczone z sem 3";"Niezaliczone z sem 4";"Niezaliczone z sem 5";"Niezaliczone z sem 6";"Liczba brakujacych przedmiotow";"Brakujace przedmioty";"Opłata za niezaliczone przedmioty";"Liczba prac dyplomowych";"Informacje o pracach dyplomowych";"Stopień zaawansowania pracy";"Słowo rodzin lub famil w uzasadnieniu";"Słowo zdrow lub health w uzasadnieniu";"Słowo bardzo proszę w uzasadnieniu";"Słowo losow w uzasadnieniu";"Słowo prac lub work w uzasadnieniu";"Słowo obiecuję lub promise w uzasadnieniu";"Słowo zobowiązuję w uzasadnieniu"
2232;"5.03.2018 08:22";"5.03.2018 08:33";"WheUsvzSWxnTSOzdQLerw";"D";"I";"PL";"Model 2,I,D,PL,7 - Technika Wysokich Napięć i Kompatybilność Elektromagnetyczna";"Zamknięty - decyzja pozytywna";"Wniosek o zmniejszenie opłaty za powtarzanie";"WXJX9CCNKupY4S1OKIcNWg";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;4;"null";"2018L";6;54;0;126;0;0;2;4;1;11;3;"1DE1204,1DE1302,1DE1506";390;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
571;"13.10.2017 11:57";"14.10.2017 12:03";"ebMwiTHFCbdei4ZF121TnQ";"D";"I";"EN";"Model 2,I,D,EN,8 - Electrical Engineering";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"s67ATdcxFRCArkQmkAHEzw";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;6;"null";"2017Z";3;25;0;65;0;0;6;0;0;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
64;"15.09.2017 05:20";"18.09.2017 08:58";"L5ZqTn6gbkKdxLz2wwoQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Oprogramowania";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;73;6;107;0;2;2;2;5;8;19;"1DI1206,1DI1209,1DI1302,1DI1305,1DI1404,1DI1406,1DI1512,1DI1506,1DI1518,1DI1511,1DI1510,1DI1601,1DI1622,1DI1602,1DI1615,1DI1610,1DI1650,1DW1780,1DI1608";3530;0;;;"TAK";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
61;"15.09.2017 01:08";"18.09.2017 10:31";"HQQWd5878XpCA2Q43Aj9ew";"D";"I";"PL";"Model 2,I,D,PL,7 - Systemy wbudowane";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;7;30;173;0;0;1;0;2;0;3;"1DE1302,1DE1505,1DE1506";240;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
47;"14.09.2017 20:35";"15.09.2017 08:28";"GoI83Xpb56TFsOv8oUZfFg";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka.";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;0;14;164;0;0;0;1;2;0;7;"1DR1418,1DR1518,1DR1514,1DR1620,1DR1615,1DR1623,1DR1631";1370;0;;;"TAK";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
36;"14.09.2017 16:56";"18.09.2017 15:48";"D4JfbUIpURfgEsDoOkJ46g";"D";"I";"EN";"Model 2,I,D,EN,8 - Electrical Engineering";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;6;"null";"2017L";4;0;12;135;0;1;1;0;0;0;5;"1DA1203,1DA1312,1DA1613,1DA1505,1DA1512";1520;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
40;"14.09.2017 18:59";"15.09.2017 12:14";"nAi2X8WajgpWWLhw3AyDzw";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektroenergetyka";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"CFN5v4I1QvglQe1ZzUQew";"NO";"NO";"NO";"NO";0;8;"null";"2017L";6;0;18;135;1;0;0;0;2;0;5;"1ZE1106,1ZE1506,1ZE1507,1ZE1605,SJONSTJEZ3";790;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
5;"11.09.2017 15:00";"13.09.2017 17:30";"6zdLPPxupHejkiivv0989A";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektroenergetyka";"Anulowany - usunięty";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"FUYMkMMRDa35xtOw0V36w";"NO";"NO";"NO";"NO";0;14;"null";"2017L";6;150;0;0;5;11;7;10;13;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
7;"12.09.2017 00:05";"13.09.2017 17:45";"6zdLPPxupHejkiivv0989A";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektroenergetyka";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"FUYMkMMRDa35xtOw0V36w";"NO";"NO";"NO";"NO";0;9;"null";"2017L";6;150;0;0;5;11;7;10;13;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
232;"18.09.2017 14:00";"19.09.2017 16:01";"7pZE2v3eDkgfd7oydhghQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka.";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;4;"null";"2017L";6;54;19;126;1;1;2;3;4;5;15;"1DR1112,1DR1212,1DR1315,1DR1317,1DR1412,1DR1417,1DR1418,1DR1519,1DR1520,1DR1514,1DR1515,1DR1620,1DR1624,1DR1625,1DR1634";2680;0;;;"TAK";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
231;"18.09.2017 13:56";"19.09.2017 16:31";"nxNhXQjwXOJTqDWhfPWhiw";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Automatyka Przemysłowa";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"CFN5v4I1QvglQe1ZzUQew";"NO";"NO";"NO";"NO";0;4;"null";"2017L";6;15;24;143;0;1;0;0;2;1;4;"1ZE1222,1ZE1506,1ZE1507,1ZE1610";330;0;;;"NIE";"NIE";"TAK";"NIE";"NIE";"NIE";"NIE"
15;"14.09.2017 10:24";"15.09.2017 13:05";"6EVe09iAjpt5dJktgDCYg";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektroenergetyka";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"CFN5v4I1QvglQe1ZzUQew";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;0;22;145;0;1;1;0;1;0;3;"1ZE1211,1ZE1304,1ZE1507";620;0;;;"TAK";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
2951;"18.03.2018 20:17";"19.03.2018 00:16";"XGIuF2SysA5jrKvF9nZ4kw";"D";"M";"EN";"Model 2,M,D,EN,3 - Electrical Engineering";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;4;"null";"2018L";2;41;0;19;2;8;0;0;0;0;2;"1DA2104,1DA2107";355;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
69;"15.09.2017 08:49";"15.09.2017 13:12";"3I7wDGHwIk3PGcdTgvZ4tg";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Oprogramowania";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;9;34;171;1;0;0;0;1;1;3;"1DI1102,1DI1502,1DI1650";530;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
20;"15.09.2017 08:23";"18.09.2017 10:32";"v0gLwODGq5lyp7bLcfc4Ug";"D";"I";"PL";"Model 2,I,D,PL,7 - Systemy wbudowane";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;0;37;175;0;0;1;1;3;0;5;"1DE1204,1DE1416,1DE1515,1DE1520,1DE1506";770;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
28;"14.09.2017 14:16";"15.09.2017 08:21";"fE6uiEkMqr0QbMjO1fkEw";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Oprogramowania";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;4;"null";"2017L";6;0;18;188;0;0;0;0;0;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
44;"14.09.2017 19:54";"15.09.2017 12:24";"sloqfXt2PLqDaDDrFGeA";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektroenergetyka";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"CFN5v4I1QvglQe1ZzUQew";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;0;24;141;0;0;1;0;3;0;5;"1ZE1305,1ZE1510,1ZE1506,1ZE1507,1ZE1610";410;0;;;"TAK";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
73;"15.09.2017 11:04";"15.09.2017 13:15";"lRDgAkg4EFKN5fcLKGXwQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Oprogramowania";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;4;"null";"2017L";7;11;0;199;0;0;0;0;0;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
286;"18.09.2017 21:55";"19.09.2017 14:20";"7uomhtayMw2F8NYLvfRlag";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektrotechnika";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;4;"null";"2017L";4;59;11;61;0;3;5;9;0;0;17;"1DE1201,1DE1213,1DE1202,1DE1204,1DE1302,1DE1301,1DE1310,1DE1305,1DE1408,1DE1401,1DE1414,1DE1412,1DE1413,1DE1415,1DE1410,1DE1411,1DE1426";2850;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
275;"18.09.2017 20:19";"19.09.2017 07:34";"PCxQRvZEwdAmIBL0QmRpEg";"Z";"I";"PL";"Model 2,I,Z,PL,8 - Elektroenergetyka";"Zamknięty - odrzucony formalnie";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"CFN5v4I1QvglQe1ZzUQew";"NO";"NO";"NO";"NO";0;3;"null";"2017L";4;0;30;117;0;0;1;2;0;0;1;"1ZE1221";80;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
91;"15.09.2017 12:19";"19.09.2018 16:35";"QhTFNrHJap3eN3pxY1Ng";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektronika Przemysłowa";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"FUYMkMMRDa35xtOw0V36w";"NO";"NO";"NO";"NO";0;8;"null";"2017L";6;5;36;175;0;0;1;0;1;0;2;"1DE1302,1DE1505";160;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
109;"15.09.2017 16:56";"18.09.2017 10:34";"Aot6ZllzARvGFKBQt0mw";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektrotechnika";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;6;"null";"2017L";4;31;23;89;1;4;1;6;0;0;12;"1DE1106,1DE1209,1DE1201,1DE1213,1DE1212,1DW1301,1DE1414,1DE1413,1DE1415,1DE1410,1DE1417,1DE1426";1770;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"NIE"
572;"13.10.2017 11:57";"14.10.2017 12:04";"c6MS5llrueEDWOrpRSvqg";"D";"I";"EN";"Model 2,I,D,EN,8 - Electrical Engineering";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"s67ATdcxFRCArkQmkAHEzw";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;6;"null";"2017Z";3;29;0;61;1;0;6;0;0;0;1;"1DA1106";450;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
42;"14.09.2017 18:57";"15.09.2017 08:24";"4cOjEZAiYkYavE5lZ6DEQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka i robotyka";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;6;"null";"2017L";2;0;25;59;0;0;0;0;0;0;1;"1DR1216";80;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
320;"19.09.2017 09:43";"19.09.2017 14:37";"AUMc3rJcIDSL1SJ2HJ2Qw";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektrotechnika";"Zamknięty - decyzja negatywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;4;"null";"2017L";4;78;0;42;0;8;6;12;0;0;26;"1DE1211,1DE1209,1DE1217,1DE1201,1DE1214,1DE1213,1DE1308,1DE1202,1DE1204,1DE1302,1DE1301,1DE1310,1DE1305,1DW1780,1DE1408,1DE1401,1DE1414,1DE1412,1DE1413,1DE1415,1DE1304,1DE1410,1DE1417,1DE1411,1DW1401,1DE1416";4530;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
79;"15.09.2017 11:13";"19.09.2017 15:04";"DQMITyBvBELmq91TFTkhA";"D";"M";"PL";"Model 2,M,D,PL,3 - Inżynieria  Oprogramowania";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"UxFYRj8nA8e4KeQCrN2hA";"NO";"NO";"NO";"NO";0;6;"null";"2017L";1;30;0;0;8;0;0;0;0;0;7;"1DI2102,1DI2101,1DI2104,1DI2105,1DI2103,1DI2337,1DI2338";1610;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
346;"19.09.2017 15:26";"20.09.2017 09:00";"d2D1Wt8WzO9w16GSQ6oGeA";"D";"I";"EN";"Model 2,I,D,EN,8 - Electrical Engineering";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"s67ATdcxFRCArkQmkAHEzw";"s67ATdcxFRCArkQmkAHEzw";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;0;47;191;0;0;0;1;0;0;1;"1DA1410";80;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
466;"25.09.2017 10:09";"25.09.2017 23:39";"PT2EI9T0uZkrOMKNdOsbHw";"D";"I";"PL";"Model 2,I,D,PL,7 - Automatyka Elektroenergetyczna";"Zamknięty - decyzja pozytywna";"Wniosek ogólny";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;3;"null";"2017Z";7;18;0;192;0;0;0;0;0;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
45;"14.09.2017 20:01";"18.09.2017 14:12";"ogFvGHCKVQm7890r1pylA";"D";"I";"PL";"Model 2,I,D,PL,7 - Inżynieria  Oprogramowania";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;6;"null";"2017L";4;0;30;97;1;2;3;0;0;0;7;"1DI1108,1DI1207,1DI1209,1DI1301,1DI1307,1DI1650,1DI1406";1220;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"TAK"
6;"11.09.2017 23:41";"14.09.2017 12:22";"6zdLPPxupHejkiivv0989A";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektroenergetyka";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"ZRZOnmXcfa9Tlr9XY1AxQ";"ZRZOnmXcfa9Tlr9XY1AxQ";"NO";"NO";"NO";"NO";0;9;"null";"2017L";6;150;0;0;5;11;7;10;13;0;0;;0;0;;;"NIE";"NIE";"NIE";"NIE";"NIE";"NIE";"NIE"
289;"18.09.2017 22:34";"19.09.2017 01:14";"0rMEbD7u3KHJHVM8RInDAQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektrotechnika";"Zamknięty - odrzucony formalnie";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;3;"null";"2017L";2;14;24;46;2;4;0;0;0;0;6;"1DE1113,1DE1106,1DE1211,1DE1213,1DE1212,1DE1202";1000;0;;;"NIE";"NIE";"TAK";"NIE";"NIE";"NIE";"NIE"
29;"14.09.2017 14:23";"18.09.2017 12:18";"Ck7IV8R5G6zSFZDci085HQ";"D";"I";"PL";"Model 2,I,D,PL,7 - Systemy wbudowane";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;6;"null";"2017L";6;0;30;155;0;0;2;5;2;0;9;"1DE1204,1DE1302,1DE1408,1DE1414,1DE1413,1DE1410,1DE1416,1DE1513,1DE1506";790;0;;;"NIE";"TAK";"NIE";"NIE";"NIE";"NIE";"NIE"
304;"18.09.2017 23:50";"19.09.2017 14:40";"5gSgdqrHICnBmwTEa3XNHg";"D";"I";"PL";"Model 2,I,D,PL,7 - Elektronika Przemysłowa";"Zamknięty - decyzja pozytywna";"Podanie o rejestrację";"FUYMkMMRDa35xtOw0V36w";"WXJX9CCNKupY4S1OKIcNWg";"NO";"NO";"NO";"NO";0;4;"null";"2017L";6;38;22;142;0;0;4;2;5;3;14;"1DE1204,1DE1302,1DE1301,1DW1301,1DE1414,1DW1401,1DE1515,1DE1505,1DE1506,1DE1504,SJOJEZYK3,1DE1707,1DE1609,1DE1695";2520;0;;;"NIE";"NIE";"NIE";"NIE";"TAK";"NIE";"TAK"
